index,area,time,profit,distance,shape,profit_lo,profit_up,profit_be,time_be
121.0,106.0,3199.99,6415.04023380587,77.9,Polygon(145 Points),6398.332250793666,6172.900127919768,6398.332250793666,32.98759544578712
122.0,106.0,3199.99,6986.4503200438285,69.4,Polygon(103 Points),6968.25409850686,6722.741947437136,6968.25409850686,36.3334023993376
123.0,164.0,4800.0,11251.093186470254,58.5,Polygon(175 Points),11199.16881295371,11228.522645415234,11228.522645415234,46.39097467188593
124.0,164.0,4800.0,12144.751814899708,74.1,Polygon(213 Points),12088.703160866615,12120.38852727084,12120.38852727084,49.03983253279985
125.0,106.0,3199.99,6139.000457039201,87.7,Polygon(165 Points),6123.011420087007,5907.279662387162,6123.011420087007,31.16515616678754
126.0,106.0,3199.99,14359.11838297018,90.0,Polygon(210 Points),14321.72003513931,13817.123583411343,14321.72003513931,72.67754240888222
127.0,46.0,8000.0,60878.17009199754,53.7,Polygon(67 Points),60564.88658040949,60878.01120625419,60878.01120625419,283.29772248859956
128.0,46.0,8000.0,5820.291770758609,75.7,Polygon(22 Points),5790.34012402457,5820.276580397545,5820.276580397545,26.296342438039915
129.0,46.0,8000.0,9263.965687674463,103.5,Polygon(33 Points),9216.292643338867,9263.94150967975,9263.94150967975,40.36992564461401
130.0,0.0,0.0,0.0,0.0,Polygon(47 Points),0.0,0.0,0.0,0.0
131.0,46.0,8000.0,13233.15707839575,47.9,Polygon(135 Points),13165.058285139465,13233.122541220993,13233.122541220993,62.071431424961354
132.0,46.0,8000.0,31373.173044834537,64.5,Polygon(210 Points),31211.724403945816,31373.091164089543,31373.091164089543,143.877789010298
133.0,0.0,0.0,0.0,0.0,Polygon(127 Points),0.0,0.0,0.0,0.0
134.0,0.0,0.0,0.0,0.0,Polygon(136 Points),0.0,0.0,0.0,0.0
135.0,0.0,0.0,0.0,0.0,Polygon(106 Points),0.0,0.0,0.0,0.0
136.0,0.0,0.0,0.0,0.0,Polygon(119 Points),0.0,0.0,0.0,0.0
137.0,46.0,8000.0,17989.60196693753,80.1,Polygon(238 Points),17897.026160737103,17989.555015932317,17989.555015932317,80.8073443428522
138.0,46.0,8000.0,16985.561014012084,87.1,Polygon(195 Points),16898.152075919472,16985.516683450172,16985.516683450172,75.601067079406
139.0,106.0,3199.99,12132.197772179981,74.6,Polygon(148 Points),12100.599442802388,11674.259622750176,12100.599442802388,62.65934674100233
140.0,46.0,8000.0,20374.162848597734,116.1,Polygon(199 Points),20269.315917863292,20374.109674134626,20374.109674134626,87.38002440543823
141.0,141.0,12800.0,2.1981631140437457e6,0.0,Polygon(181 Points),2.198108566043122e6,2.1936024948501014e6,2.198108566043122e6,11226.248641559072
142.0,141.0,12800.0,6529.8963237757525,60.7,Polygon(120 Points),6529.734282666763,6516.34847997997,6529.734282666763,30.615939773421026
143.0,337.0,3200.0,13898.852176985394,88.4,Polygon(78 Points),13750.947144314701,13562.331924496864,13750.947144314701,79.79143464738658
144.0,141.0,12800.0,6100.228497161526,76.6,Polygon(38 Points),6100.077118373598,6087.572102832994,6100.077118373598,28.00034738088113
145.0,141.0,12800.0,27537.61951066422,26.8,Polygon(76 Points),27536.93615733314,27480.486081718373,27536.93615733314,135.30489472155608
146.0,141.0,12800.0,18163.473817167152,41.1,Polygon(202 Points),18163.02308574746,18125.789312871453,18163.02308574746,87.47562824098752
147.0,141.0,12800.0,14689.47775487108,58.4,Polygon(257 Points),14689.113231584968,14659.000892728562,14689.113231584968,69.08731608036089
148.0,337.0,3200.0,11650.366399960772,64.7,Polygon(159 Points),11526.388692948025,11368.286686285523,11526.388692948025,69.01173152543103
149.0,141.0,12800.0,13592.663701244674,54.3,Polygon(268 Points),13592.32639569018,13564.46244421666,13592.32639569018,64.28574739447879
150.0,141.0,12800.0,21115.286813011615,51.8,Polygon(287 Points),21114.76283156961,21071.478061193568,21114.76283156961,100.20473257414314
151.0,141.0,12800.0,23002.012047677617,47.0,Polygon(220 Points),23001.441246648556,22954.288829611192,23001.441246648556,109.8790938678357
152.0,337.0,3200.0,11214.867387469525,62.1,Polygon(160 Points),11095.524055644772,10943.332014850346,11095.524055644772,66.66477304623339
153.0,141.0,12800.0,21527.733203022653,62.7,Polygon(262 Points),21527.1989866141,21483.06873175839,21527.1989866141,100.66269007688408
154.0,141.0,12800.0,9549.769322871789,75.1,Polygon(278 Points),9549.532342813458,9529.956024672707,9549.532342813458,43.92098431293551
155.0,141.0,12800.0,24958.533770306873,56.4,Polygon(336 Points),24957.914417672408,24906.751276355055,24957.914417672408,117.70338212304671
156.0,141.0,12800.0,6877.626447027757,118.5,Polygon(286 Points),6877.455776903542,6863.357153279429,6877.455776903542,29.91212843209612
157.0,337.0,3200.0,9721.949574274293,89.2,Polygon(306 Points),9618.49317002626,9486.560861324824,9618.49317002626,55.75435327502845
158.0,141.0,12800.0,16039.11729649424,48.5,Polygon(189 Points),16038.719281544983,16005.840281824961,16038.719281544983,76.4600470503146
159.0,141.0,12800.0,12246.464025243833,84.2,Polygon(301 Points),12246.160125991308,12221.055783912252,12246.160125991308,55.65283996523139
160.0,160.0,1600.0,163503.06006426085,0.0,Polygon(110 Points),159359.30768907844,161375.00282571325,161375.00282571325,601.6065217498591
161.0,160.0,1600.0,10903.799123075407,47.5,Polygon(49 Points),10627.45785156038,10761.881848607212,10761.881848607212,37.50078920171006
162.0,162.0,6400.0,771373.8829059926,0.0,Polygon(184 Points),767332.8981050923,771159.3892663103,771159.3892663103,3723.8648418942494
163.0,164.0,4800.0,33733.74680885128,26.4,Polygon(41 Points),33578.06383294973,33666.07436985625,33666.07436985625,145.4129769099777
164.0,164.0,4800.0,219038.40416723,0.0,Polygon(73 Points),218027.53067041066,218598.99661705276,218598.99661705276,980.8455566938427
165.0,164.0,4800.0,13646.272046762087,10.4,Polygon(13 Points),13583.29379966015,13618.896596361428,13618.896596361428,60.18697515023093
166.0,164.0,4800.0,74331.14490453112,27.7,Polygon(55 Points),73988.10284915319,74182.03102466813,74182.03102466813,319.8238902633652
167.0,0.0,0.0,0.0,0.0,Polygon(161 Points),0.0,0.0,0.0,0.0
168.0,164.0,4800.0,45282.483111836584,31.2,Polygon(148 Points),45073.50212413282,45191.64303725805,45191.64303725805,193.87765621797305
169.0,164.0,4800.0,30031.108225342923,26.9,Polygon(157 Points),29892.513116870832,29970.863558456433,29970.863558456433,129.36078801840446
170.0,164.0,4800.0,55622.45432902205,20.5,Polygon(83 Points),55365.753842534206,55510.87149274053,55510.87149274053,241.78607403926995
171.0,164.0,4800.0,63738.52661295865,47.8,Polygon(204 Points),63444.37003560264,63610.662323874785,63610.662323874785,266.67312109316424
172.0,164.0,4800.0,37302.928900068,15.1,Polygon(63 Points),37130.77396531042,37228.09641274811,37228.09641274811,163.41236636204678
173.0,0.0,0.0,0.0,0.0,Polygon(118 Points),0.0,0.0,0.0,0.0
174.0,164.0,4800.0,56691.232014090885,16.2,Polygon(99 Points),56429.599063636546,56577.50512920716,56577.50512920716,247.95401858447772
175.0,164.0,4800.0,24640.000663590574,40.3,Polygon(135 Points),24526.285793693067,24590.57096486209,24590.57096486209,104.16374254468487
176.0,164.0,4800.0,51731.896443842496,32.1,Polygon(137 Points),51493.151082022945,51628.118359954264,51628.118359954264,221.2109846168411
177.0,164.0,4800.0,58883.836715597834,51.5,Polygon(130 Points),58612.08478171601,58765.71130040131,58765.71130040131,245.11565203557979
178.0,164.0,4800.0,39183.01632630876,62.1,Polygon(135 Points),39002.18469141671,39104.412241888225,39104.412241888225,160.77729166723773
179.0,164.0,4800.0,24852.34384883214,46.8,Polygon(93 Points),24737.649004217383,24802.488173667345,24802.488173667345,104.12181026280011
180.0,164.0,4800.0,42885.98979495534,80.2,Polygon(132 Points),42688.06874712171,42799.95726662145,42799.95726662145,171.78168076183334
181.0,164.0,4800.0,10708.18645418152,72.9,Polygon(174 Points),10658.76762314736,10686.705024956529,10686.705024956529,43.30797750796662
182.0,277.0,3200.0,45697.886649760025,103.1,Polygon(32 Points),45202.59484087935,45550.95468407459,45550.95468407459,171.99118908091242
183.0,164.0,4800.0,28847.964416666888,93.4,Polygon(177 Points),28714.829577701697,28790.093225447607,28790.093225447607,113.57958591112958
